epoch	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	L	M1	0.118810296	1.454174669	0.118810296	57.82312672	expectation	110	M1-S1
plan	L	M1	0.035998621	0.888389348	0.045703091	18.13752791	expectation	111	M1-S1
plan	L	M1	0.02087677	1.282833246	0.049236963	2.071148488	expectation	112	M1-S1
plan	L	M1	0.048984872	1.304261793	0.048984872	4.088709857	expectation	113	M1-S1
plan	L	M1	0.13467054	1.060574752	0.180421074	118.2884879	expectation	114	M1-S1
plan	L	M1	0.020030348	0.672880217	0.034372257	7.874877708	expectation	115	M1-S1
plan	L	M1	0.017396322	1.421410263	0.01739634	0.07063118	uncertainty	102	M1-S1
plan	L	M1	0.016538224	1.060486431	0.05011124	1.512935478	uncertainty	103	M1-S1
plan	L	M1	0.014003655	0.985777512	0.076446109	1.519973421	uncertainty	104	M1-S1
plan	L	M1	0.005201989	0.604342336	0.011938819	-0.132094696	uncertainty	105	M1-S1
plan	L	M1	1.86E-58	0.902631174	0.012215025	-1	uncertainty	106	M1-S1
plan	L	M1	1.44E-15	1.121179076	0.070359401	-1	uncertainty	107	M1-S1
plan	L	M1	0.011219272	0.970715769	0.011219272	0.188681546	uncertainty	108	M1-S1
plan	L	M1	0.01745996	1.152233404	0.073789497	0.401146459	uncertainty	109	M1-S1
plan	L	M1	2.16E-10	1.454174669	0.118810296	-1	uncertainty	110	M1-S1
plan	L	M1	0.009704469	0.888389348	0.045703091	0.656033156	uncertainty	111	M1-S1
plan	L	M1	0.028360193	1.282833246	0.049236963	4.451832937	uncertainty	112	M1-S1
plan	L	M1	0	1.304261793	0.048984872	-1	uncertainty	113	M1-S1
plan	L	M1	0.045750534	1.060574752	0.180421074	18.52800872	uncertainty	114	M1-S1
plan	L	M1	0.014341909	0.672880217	0.034372257	3.77878622	uncertainty	115	M1-S1
plan	L	S1	1.61E-11	1.469049845	0.020327743	-1	expectation	102	M1-S1
plan	L	S1	0.077507853	1.408945395	0.096314974	61.07607259	expectation	103	M1-S1
plan	L	S1	0.150738804	1.066642965	0.165572421	253.9319258	expectation	104	M1-S1
plan	L	S1	0.022625463	0.628938358	0.027552863	24.58573195	expectation	105	M1-S1
plan	L	S1	0.051823426	1.060387636	0.051823426	43.66780576	expectation	106	M1-S1
plan	L	S1	0.152407816	1.220932727	0.152407816	212.9190122	expectation	107	M1-S1
plan	L	S1	0.019712341	1.086015914	0.024832206	6.123051535	expectation	108	M1-S1
plan	L	S1	0.077251959	1.518036645	0.112051383	25.35419681	expectation	109	M1-S1
plan	L	S1	0.138676776	1.883309243	0.160061124	93.09774061	expectation	110	M1-S1
plan	L	S1	0.051720923	0.833963468	0.066580801	76.19925616	expectation	111	M1-S1
plan	L	S1	0.026195359	1.492588833	0.068290299	7.302726798	expectation	112	M1-S1
plan	L	S1	0.084478398	1.622238076	0.084478398	17.99938161	expectation	113	M1-S1
plan	L	S1	0.112765112	1.233166847	0.132177702	145.030691	expectation	114	M1-S1
plan	L	S1	0.037172809	0.793120739	0.037172809	41.91878991	expectation	115	M1-S1
plan	L	S1	0.020327743	1.469049845	0.020327743	1.891638583	uncertainty	102	M1-S1
plan	L	S1	0.018807121	1.408945395	0.096314974	3.580963967	uncertainty	103	M1-S1
plan	L	S1	0.014833617	1.066642965	0.165572421	3.330973875	uncertainty	104	M1-S1
plan	L	S1	0.0049274	0.628938358	0.027552863	0.437919774	uncertainty	105	M1-S1
plan	L	S1	8.23E-54	1.060387636	0.051823426	-1	uncertainty	106	M1-S1
plan	L	S1	0	1.220932727	0.152407816	-1	uncertainty	107	M1-S1
plan	L	S1	0.005119865	1.086015914	0.024832206	-0.476373258	uncertainty	108	M1-S1
plan	L	S1	0.034799424	1.518036645	0.112051383	4.986919953	uncertainty	109	M1-S1
plan	L	S1	0.021384349	1.883309243	0.160061124	2.093651737	uncertainty	110	M1-S1
plan	L	S1	0.014859877	0.833963468	0.066580801	7.026961093	uncertainty	111	M1-S1
plan	L	S1	0.04209494	1.492588833	0.068290299	19.15985169	uncertainty	112	M1-S1
plan	L	S1	8.85E-37	1.622238076	0.084478398	-1	uncertainty	113	M1-S1
plan	L	S1	0.019412589	1.233166847	0.132177702	5.262247324	uncertainty	114	M1-S1
plan	L	S1	6.38E-18	0.793120739	0.037172809	-1	uncertainty	115	M1-S1
plan	L	SPLa	6.67E-23	1.369554476	0.012941449	-1	expectation	102	
plan	L	SPLa	0.015616834	1.28234453	0.047718356	2.076668837	expectation	103	
plan	L	SPLa	0.025352662	1.034910262	0.067835046	12.88912329	expectation	104	
plan	L	SPLa	0.001170132	0.61296014	0.009409552	-0.919042504	expectation	105	
plan	L	SPLa	0.022658172	1.048374436	0.02527254	7.829415339	expectation	106	
plan	L	SPLa	0.030715879	1.27939567	0.064460502	12.81223335	expectation	107	
plan	L	SPLa	0.009917531	1.040189999	0.019303569	0.75289692	expectation	108	
plan	L	SPLa	0.023563055	1.329152735	0.072604196	1.787613826	expectation	109	
plan	L	SPLa	0.021329272	1.785315241	0.029082265	2.309885657	expectation	110	
plan	L	SPLa	0.004347643	0.895717055	0.012313256	-0.395253278	expectation	111	
plan	L	SPLa	0.009646489	1.36831002	0.059882312	0.08939195	expectation	112	
plan	L	SPLa	0.068157712	1.586797316	0.068157712	11.46781125	expectation	113	
plan	L	SPLa	0.040531694	1.241968249	0.155980635	23.13233341	expectation	114	
plan	L	SPLa	0.01669601	0.837260194	0.021129693	9.115956618	expectation	115	
plan	L	SPLa	0.012941449	1.369554476	0.012941449	-0.030159987	uncertainty	102	
plan	L	SPLa	0.032101523	1.28234453	0.047718356	10.99925619	uncertainty	103	
plan	L	SPLa	0.042482384	1.034910262	0.067835046	34.65012634	uncertainty	104	
plan	L	SPLa	0.00823942	0.61296014	0.009409552	2.780138082	uncertainty	105	
plan	L	SPLa	0.002614368	1.048374436	0.02527254	-0.867014469	uncertainty	106	
plan	L	SPLa	0.033744623	1.27939567	0.064460502	15.44750868	uncertainty	107	
plan	L	SPLa	0.009386038	1.040189999	0.019303569	0.575103885	uncertainty	108	
plan	L	SPLa	0.049041142	1.329152735	0.072604196	10.06481566	uncertainty	109	
plan	L	SPLa	0.007752993	1.785315241	0.029082265	-0.540888229	uncertainty	110	
plan	L	SPLa	0.007965613	0.895717055	0.012313256	0.994156924	uncertainty	111	
plan	L	SPLa	0.050235823	1.36831002	0.059882312	23.70453458	uncertainty	112	
plan	L	SPLa	3.38E-57	1.586797316	0.068157712	-1	uncertainty	113	
plan	L	SPLa	0.115448941	1.241968249	0.155980635	147.1939353	uncertainty	114	
plan	L	SPLa	0.004433682	0.837260194	0.021129693	-0.212172569	uncertainty	115	
plan	L	SPLp	0.004284472	1.338007969	0.004284472	-0.817978747	expectation	102	
plan	L	SPLp	0.017525769	1.314695982	0.053260948	3.2160007	expectation	103	
plan	L	SPLp	0.032564553	1.037450965	0.081289407	24.13263198	expectation	104	
plan	L	SPLp	0.011773155	0.610620258	0.018508832	8.557356588	expectation	105	
plan	L	SPLp	0.030029327	1.049799632	0.044393515	18.64258856	expectation	106	
plan	L	SPLp	0.029462048	1.36224442	0.077318432	9.837192127	expectation	107	
plan	L	SPLp	0.008839293	1.05600819	0.01766129	0.533789923	expectation	108	
plan	L	SPLp	0.007696037	1.677498849	0.077381331	-0.676450732	expectation	109	
plan	L	SPLp	0.009001241	2.022873731	0.019923803	-0.420357612	expectation	110	
plan	L	SPLp	0.008529748	0.814734296	0.028589719	2.220509621	expectation	111	
plan	L	SPLp	0.018479979	1.571105071	0.076218539	2.620350523	expectation	112	
plan	L	SPLp	0.058805822	2.211097044	0.058805822	5.480506284	expectation	113	
plan	L	SPLp	0.023088431	1.253558543	0.09451504	6.877259702	expectation	114	
plan	L	SPLp	0.02450091	0.858490243	0.029079637	19.76451252	expectation	115	
plan	L	SPLp	2.68E-17	1.338007969	0.004284472	-1.000000003	uncertainty	102	
plan	L	SPLp	0.035735179	1.314695982	0.053260948	15.13430041	uncertainty	103	
plan	L	SPLp	0.048724854	1.037450965	0.081289407	50.87594792	uncertainty	104	
plan	L	SPLp	0.006735677	0.610620258	0.018508832	2.300609858	uncertainty	105	
plan	L	SPLp	0.014364187	1.049799632	0.044393515	3.907797914	uncertainty	106	
plan	L	SPLp	0.047856384	1.36224442	0.077318432	25.52042901	uncertainty	107	
plan	L	SPLp	0.008821998	1.05600819	0.01766129	0.52793841	uncertainty	108	
plan	L	SPLp	0.069685293	1.677498849	0.077381331	21.50641125	uncertainty	109	
plan	L	SPLp	0.010922562	2.022873731	0.019923803	-0.145108226	uncertainty	110	
plan	L	SPLp	0.020059971	0.814734296	0.028589719	15.31647321	uncertainty	111	
plan	L	SPLp	0.05773856	1.571105071	0.076218539	29.5682326	uncertainty	112	
plan	L	SPLp	3.07E-11	2.211097044	0.058805822	-1	uncertainty	113	
plan	L	SPLp	0.071426609	1.253558543	0.09451504	60.49042415	uncertainty	114	
plan	L	SPLp	0.004578727	0.858490243	0.029079637	-0.160892795	uncertainty	115	
plan	R	SMA	7.07E-09	1.568119432	0.010261488	-1.0000005	expectation	102	premotor-parietal
plan	R	SMA	0.003139426	1.137537274	0.003729032	-0.869401425	expectation	103	premotor-parietal
plan	R	SMA	0.008889002	1.061937019	0.015654419	0.13386812	expectation	104	premotor-parietal
plan	R	SMA	0.000970723	0.676111936	0.003394891	-0.969130666	expectation	105	premotor-parietal
plan	R	SMA	0.002768448	0.950891428	0.013920157	-0.855617689	expectation	106	premotor-parietal
plan	R	SMA	0.012863699	1.206685383	0.012863699	1.211172777	expectation	107	premotor-parietal
plan	R	SMA	3.48E-12	1.009777849	3.48E-12	-1	expectation	108	premotor-parietal
plan	R	SMA	0.000350256	1.179730901	0.004995679	-0.999618381	expectation	109	premotor-parietal
plan	R	SMA	0.00943823	1.486530769	0.019024609	-0.331969007	expectation	110	premotor-parietal
plan	R	SMA	0.004646877	0.943021884	0.013258331	-0.540225348	expectation	111	premotor-parietal
plan	R	SMA	0.017768287	1.351475388	0.030474461	1.844432223	expectation	112	premotor-parietal
plan	R	SMA	0.026540476	1.345523797	0.026540476	1.283355643	expectation	113	premotor-parietal
plan	R	SMA	0.006766201	1.136139425	0.037736035	-0.392252016	expectation	114	premotor-parietal
plan	R	SMA	0.01212368	0.654549855	0.01212368	5.302474153	expectation	115	premotor-parietal
plan	R	SMA	0.010261481	1.568119432	0.010261488	-0.525847211	uncertainty	102	premotor-parietal
plan	R	SMA	0.000589605	1.137537274	0.003729032	-0.996140704	uncertainty	103	premotor-parietal
plan	R	SMA	0.006765417	1.061937019	0.015654419	-0.340345636	uncertainty	104	premotor-parietal
plan	R	SMA	0.002424168	0.676111936	0.003394891	-0.795533133	uncertainty	105	premotor-parietal
plan	R	SMA	0.011151709	0.950891428	0.013920157	1.290848823	uncertainty	106	premotor-parietal
plan	R	SMA	1.61E-27	1.206685383	0.012863699	-1	uncertainty	107	premotor-parietal
plan	R	SMA	2.15E-157	1.009777849	3.48E-12	-1	uncertainty	108	premotor-parietal
plan	R	SMA	0.004645423	1.179730901	0.004995679	-0.859063488	uncertainty	109	premotor-parietal
plan	R	SMA	0.009586378	1.486530769	0.019024609	-0.310821536	uncertainty	110	premotor-parietal
plan	R	SMA	0.008611454	0.943021884	0.013258331	0.56259957	uncertainty	111	premotor-parietal
plan	R	SMA	0.012706174	1.351475388	0.030474461	0.496371597	uncertainty	112	premotor-parietal
plan	R	SMA	1.55E-13	1.345523797	0.026540476	-1	uncertainty	113	premotor-parietal
plan	R	SMA	0.030969833	1.136139425	0.037736035	10.11013347	uncertainty	114	premotor-parietal
plan	R	SMA	8.67E-35	0.654549855	0.01212368	-1	uncertainty	115	premotor-parietal
plan	R	PMd	3.28E-12	1.427970529	0.021578378	-1	expectation	102	premotor-parietal
plan	R	PMd	0.014062934	1.33501989	0.03940996	2.556633907	expectation	103	premotor-parietal
plan	R	PMd	0.011469416	1.091815778	0.029916592	2.67062695	expectation	104	premotor-parietal
plan	R	PMd	0.008821448	0.61820153	0.022987875	4.02907994	expectation	105	premotor-parietal
plan	R	PMd	0.006078829	1.015878707	0.018402594	0.202069176	expectation	106	premotor-parietal
plan	R	PMd	0.021825983	1.067788896	0.027198233	11.99421991	expectation	107	premotor-parietal
plan	R	PMd	0.010692842	1.136738816	0.018978765	1.160668025	expectation	108	premotor-parietal
plan	R	PMd	0.016346358	1.669116136	0.069141641	0.48661634	expectation	109	premotor-parietal
plan	R	PMd	0.002152554	1.612646099	0.007096677	-0.949310153	expectation	110	premotor-parietal
plan	R	PMd	0.007681627	0.960415641	0.014049516	1.370722837	expectation	111	premotor-parietal
plan	R	PMd	0.022895269	1.620016102	0.063302246	5.415784455	expectation	112	premotor-parietal
