epoch	method	glm	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	raw	12	L	SMA	0.0006351893666530599	1.517073759880988	0.006418012650482326	-0.998689272090385	expectation	102	premotor-parietal
plan	raw	12	L	SMA	0.009347137563888915	1.1485673079628638	0.02597245088824659	0.25734922221724676	expectation	103	premotor-parietal
plan	raw	12	L	SMA	0.002237369341994762	1.0995499733927432	0.027649731208964863	-0.9132657429016202	expectation	104	premotor-parietal
plan	raw	12	L	SMA	0.0034135260724718177	0.6748791869659759	0.004806747629170595	-0.5210997501741729	expectation	105	premotor-parietal
plan	raw	12	L	SMA	8.841229257386785e-05	1.0019473607773521	8.841229257386785e-05	-0.9998440462551181	expectation	106	premotor-parietal
plan	raw	12	L	SMA	0.02128465028438816	1.3858096669374684	0.02128465028438826	3.7553877529423487	expectation	107	premotor-parietal
plan	raw	12	L	SMA	0.010137791247941962	1.1253046044221213	0.015896493485016858	0.4784844255693203	expectation	108	premotor-parietal
plan	raw	12	L	SMA	0.018281436280008844	1.4173684904738524	0.028854133002314354	0.5336274564993	expectation	109	premotor-parietal
plan	raw	12	L	SMA	0.003006114157448066	1.5449997314793371	0.014023458615879187	-0.9270344799378308	expectation	110	premotor-parietal
plan	raw	12	L	SMA	3.665121314471604e-26	0.9423964672303028	0.009758213823690527	-0.9999999999860918	expectation	111	premotor-parietal
plan	raw	12	L	SMA	0.036069451734092914	1.32127019506082	0.06917067249522713	10.792778868333166	expectation	112	premotor-parietal
plan	raw	12	L	SMA	0.017042172968302006	2.011298259748053	0.017042172968302006	-0.4829339070922535	expectation	113	premotor-parietal
plan	raw	12	L	SMA	0.010380579953660166	1.2821577822445942	0.052905971763025715	0.3408190323249165	expectation	114	premotor-parietal
plan	raw	12	L	SMA	0.010212195361403486	0.7686330792367655	0.013205577623226224	2.540469203248607	expectation	115	premotor-parietal
plan	raw	12	L	SMA	0.005782823283829266	1.517073759880988	0.006418012650482326	-0.836566600763738	uncertainty	102	premotor-parietal
plan	raw	12	L	SMA	0.016625313324357672	1.1485673079628638	0.02597245088824659	2.790997369178031	uncertainty	103	premotor-parietal
plan	raw	12	L	SMA	0.0254123618669701	1.0995499733927432	0.027649731208964863	8.784370907918554	uncertainty	104	premotor-parietal
plan	raw	12	L	SMA	0.0013932215566987776	0.6748791869659759	0.004806747629170595	-0.9237382451054293	uncertainty	105	premotor-parietal
plan	raw	12	L	SMA	1.741310394596182e-141	1.0019473607773521	8.841229257386785e-05	-0.9999994572902466	uncertainty	106	premotor-parietal
plan	raw	12	L	SMA	9.936855877701499e-17	1.3858096669374684	0.02128465028438826	-1.000000000017857	uncertainty	107	premotor-parietal
plan	raw	12	L	SMA	0.005758702237074896	1.1253046044221213	0.015896493485016858	-0.5205656546176675	uncertainty	108	premotor-parietal
plan	raw	12	L	SMA	0.010572696722305512	1.4173684904738524	0.028854133002314354	-0.48471962774708977	uncertainty	109	premotor-parietal
plan	raw	12	L	SMA	0.011017344458431121	1.5449997314793371	0.014023458615879187	0.02921366824497129	uncertainty	110	premotor-parietal
plan	raw	12	L	SMA	0.009758213823690527	0.9423964672303028	0.009758213823690527	1.178108009591032	uncertainty	111	premotor-parietal
plan	raw	12	L	SMA	0.03310122076113422	1.32127019506082	0.06917067249522713	9.058679100862292	uncertainty	112	premotor-parietal
plan	raw	12	L	SMA	0.0	2.011298259748053	0.017042172968302006	-1.0001125269185842	uncertainty	113	premotor-parietal
plan	raw	12	L	SMA	0.04252539180936555	1.2821577822445942	0.052905971763025715	18.293407524455336	uncertainty	114	premotor-parietal
