epoch	roi	weight	weight_norm	variance	monkey	component	session	noise
plan	PMd	7.618246876997482	0.1852508223035392	140.11103942229823	M	expectation	10	32.41298161854056
plan	PMd	2.8411496582554516	0.08026586912458501	140.11103942229823	M	uncertainty	10	32.41298161854056
plan	PMd	6.509227212429578	0.2114964633500377	128.8760657476739	M	expectation	13	30.19663703139467
plan	PMd	1.580419159617487	0.062046134786045204	128.8760657476739	M	uncertainty	13	30.19663703139467
plan	PMd	1.200589029379023	0.11147877147172032	43.606540998824954	M	expectation	14	10.54040844350161
plan	PMd	0.24432156473838007	0.030128313511503173	43.606540998824954	M	uncertainty	14	10.54040844350161
plan	PMd	1.9938297623148642	0.08968311353856555	80.35913327100131	M	expectation	15	19.533890940694036
plan	PMd	0.22980977589447538	0.015949854241081102	80.35913327100131	M	uncertainty	15	19.533890940694036
plan	PMd	3.4246973996479295	0.09876492725494772	124.02097217317221	M	expectation	16	29.401410456402875
plan	PMd	2.9906866996483417	0.11077310335266964	124.02097217317221	M	uncertainty	16	29.401410456402875
plan	PMd	8.557274755162597	0.2248048926841565	176.96269950174624	M	expectation	17	41.756409220872406
plan	PMd	1.3815371527726175	0.043432178834507985	176.96269950174624	M	uncertainty	17	41.756409220872406
plan	PMd	10.243127205454416	0.6355120490499756	103.37583773502513	M	expectation	19	23.016374005143078
plan	PMd	1.0688503344047176	0.042664242209758584	103.37583773502513	M	uncertainty	19	23.016374005143078
plan	PMd	15.019173995653333	0.5540724351170467	140.53028119597533	M	expectation	20	31.12818954920762
plan	PMd	0.9984974444563206	0.037277501464593	140.53028119597533	M	uncertainty	20	31.12818954920762
plan	PMd	9.624928443544773	0.5482906633443018	95.9371846997286	M	expectation	21	20.5288089940389
plan	PMd	4.197284747162914	0.2388071974697752	95.9371846997286	M	uncertainty	21	20.5288089940389
plan	PMd	14.000843243322143	0.6966937947591009	99.53208953094709	M	expectation	22	21.20543536748743
plan	PMd	0.7098218245835274	0.0371213581785494	99.53208953094709	M	uncertainty	22	21.20543536748743
plan	PMd	56.82906458989614	1.3025996376751203	280.3277310216577	M	expectation	23	55.431764412458826
plan	PMd	1.7717709490597582	0.02274958618614456	280.3277310216577	M	uncertainty	23	55.431764412458826
plan	PMd	3.687227220533137	0.13087834175718496	115.32598382490131	M	expectation	24	27.188931825797734
plan	PMd	2.8835843914664903	0.1329658793647658	115.32598382490131	M	uncertainty	24	27.188931825797734
plan	PMd	1.34965236766664	0.17927560977684198	34.128635997543	P	expectation	4	7.792950348498162
plan	PMd	1.6075525704225975	0.33759350588904685	34.128635997543	P	uncertainty	4	7.792950348498162
plan	PMd	0.958058220363473	0.14057339467963323	25.402454221027465	P	expectation	6	5.918305124433629
plan	PMd	0.7734520391668083	0.14012971909006244	25.402454221027465	P	uncertainty	6	5.918305124433629
plan	PMd	0.5976561815502034	0.05798701054101466	46.8971620900304	P	expectation	7	11.436372234844107
plan	PMd	0.5541436824063107	0.08205390978246159	46.8971620900304	P	uncertainty	7	11.436372234844107
plan	PMd	0.06943601052832622	0.019932439134798054	38.917157925064906	P	expectation	10	9.535487088053396
plan	PMd	0.7059275735009765	0.04355406292788402	38.917157925064906	P	uncertainty	10	9.535487088053396
plan	PMd	0.054283076176653476	0.05542335358701661	24.874292860402857	P	expectation	20	5.817622465719026
plan	PMd	1.549726935093764	0.35888995953171116	24.874292860402857	P	uncertainty	20	5.817622465719026
plan	M1	30.861704854710023	0.17533540866997	696.51630741667	M	expectation	12	165.10783760004324
plan	M1	5.223641555031757	0.023685019265855534	696.51630741667	M	uncertainty	12	165.10783760004324
plan	M1	18.05820253564912	0.22792638816301233	341.1992017210825	M	expectation	13	80.401242895149
plan	M1	1.5364094122300562	0.026158462597365872	341.1992017210825	M	uncertainty	13	80.401242895149
plan	M1	5.615235338239924	0.2868783746047709	97.72557889393762	M	expectation	25	22.765940791037867
plan	M1	1.0471369465128435	0.038257372689464324	97.72557889393762	M	uncertainty	25	22.765940791037867
plan	M1	5.769838590491783	0.5558879678225067	56.53236063173765	M	expectation	27	12.380518111234991
plan	M1	1.2408845118973253	0.12787746967653643	56.53236063173765	M	uncertainty	27	12.380518111234991
plan	M1	5.672914948553049	0.1421142781276373	142.30855757648857	M	expectation	28	34.04525315744342
plan	M1	0.4547106624032149	0.031728092659876375	142.30855757648857	M	uncertainty	28	34.04525315744342
plan	M1	3.176716459188708	0.04797861550191143	158.043120317082	P	expectation	2	37.5529067525024
plan	M1	4.655239198786518	0.3029542958528379	158.043120317082	P	uncertainty	2	37.5529067525024
plan	M1	0.35956861201116275	0.23128876939333823	11.023139402914053	P	expectation	3	2.6028428999014026
plan	M1	0.25262731640606345	0.1902201704250719	11.023139402914053	P	uncertainty	3	2.6028428999014026
plan	M1	0.7369994155004864	0.17303456528950842	20.013906447383814	P	expectation	14	4.750851665648377
plan	M1	0.27357553871316925	0.0978756590704858	20.013906447383814	P	uncertainty	14	4.750851665648377
plan	M1	0.15353825463762297	0.09349044356829411	64.48680828882966	P	expectation	20	15.46336620249492
plan	M1	2.483706547776412	0.3804897198965788	64.48680828882966	P	uncertainty	20	15.46336620249492
plan	S1	9.844530715718477	0.11034822818634903	340.9489552823155	M	expectation	5	82.49614079592489
plan	S1	1.119880052775527	0.028041404682846525	340.9489552823155	M	uncertainty	5	82.49614079592489
plan	S1	13.996301346998356	0.2176310508667575	369.89511433293757	M	expectation	9	88.76099353990617
plan	S1	0.8549856748176697	0.013137934288563241	369.89511433293757	M	uncertainty	9	88.76099353990617
plan	S1	4.783096706320714	0.18593977209927548	143.23115101449454	M	expectation	11	34.14603068387577
plan	S1	1.8639857236255846	0.05852504106794298	143.23115101449454	M	uncertainty	11	34.14603068387577
plan	S1	6.796283735548227	0.29083629386306	141.40987378798613	M	expectation	15	33.111653896126185
plan	S1	2.167284337927912	0.04703834807324688	141.40987378798613	M	uncertainty	15	33.111653896126185
plan	S1	3.398447227288948	0.11995727631352615	111.55668646988504	M	expectation	16	26.639887609109024
plan	S1	1.5989380925739773	0.06732288918682074	111.55668646988504	M	uncertainty	16	26.639887609109024
plan	S1	5.515964449062669	0.6006914344119633	63.391091400072334	M	expectation	26	14.126659705103501
plan	S1	1.368495379908054	0.10175864085823745	63.391091400072334	M	uncertainty	26	14.126659705103501
plan	S1	7.177280059883202	0.6893714024911719	62.30025040143672	M	expectation	27	13.220224338739067
plan	S1	2.242333145798527	0.15521057434639585	62.30025040143672	M	uncertainty	27	13.220224338739067
plan	S1	7.464917773002859	0.2352959674910774	186.78553495287295	M	expectation	28	43.34726086056633
plan	S1	5.932363061962825	0.12177591323448649	186.78553495287295	M	uncertainty	28	43.34726086056633
plan	S1	0.31894232284560337	0.08021165263909047	16.71773981123904	P	expectation	15	4.065637438579635
plan	S1	0.13637957167136158	0.10056009580331667	16.71773981123904	P	uncertainty	15	4.065637438579635
