cluster	participant_id	component	Hem	glm	weight	noise	weight_sum	BF	ratio	epoch
M1-S1	102	expectation	L	12.0	9.324328415571007e-09	1.4452300539896117	0.018862041746164664	-1.0000009495871605	4.943435361374375e-07	plan
M1-S1	102	expectation	R	12.0	0.0009477616474432879	1.4279608649165234	0.02282418083049473	-0.994579425393058	0.041524454020142126	plan
M1-S1	103	expectation	L	12.0	0.055540434108903976	1.2347159132703962	0.07321310690556113	34.731108180741934	0.7586132655256189	plan
M1-S1	103	expectation	R	12.0	0.05373518392172098	1.2077889495405056	0.060883174212677284	27.568392043942737	0.8825949799202827	plan
M1-S1	104	expectation	L	12.0	0.10659062898693678	1.0262102383525806	0.12100926525303915	145.74083420598384	0.8808468406452021	plan
M1-S1	104	expectation	R	12.0	0.012227067717966555	0.9815131217197819	0.012227082780968148	2.0499792787376987	0.9999987680625163	plan
M1-S1	105	expectation	L	12.0	0.014681146762969555	0.6166403473112863	0.019745840927183518	12.512465043875144	0.7435057750697491	plan
M1-S1	105	expectation	R	12.0	0.00039471571422701744	0.614706165100408	0.00039471571439157846	-0.980563928605446	0.9999999995830899	plan
M1-S1	106	expectation	L	12.0	0.032019225453722266	0.9815094048751589	0.032019225453722266	22.380669937004342	1.0	plan
M1-S1	106	expectation	R	12.0	0.0050788330934746	0.937880444750541	0.0081194471684333	0.12904960196375947	0.625514642575671	plan
M1-S1	107	expectation	L	12.0	0.11138360850243668	1.1710559015199125	0.1113836085024374	125.2149478932839	0.9999999999999936	plan
M1-S1	107	expectation	R	12.0	0.036187501532463945	0.9819505770550647	0.036187501532463945	18.884013422821333	1.0	plan
M1-S1	108	expectation	L	12.0	0.009856170472851701	1.0283658415570252	0.01802573906127021	2.5615257675523946	0.546783154873716	plan
M1-S1	108	expectation	R	12.0	0.001252014373702049	0.9850285626875155	0.001252014373702049	-0.9778227842807085	1.0	plan
M1-S1	109	expectation	L	12.0	0.06679074803605982	1.3351350244443685	0.09292044007680056	18.45078984322486	0.7187950033475515	plan
M1-S1	109	expectation	R	12.0	0.02248393475252347	1.3068210561857603	0.02294816755894359	1.4407458956957906	0.9797703757728057	plan
M1-S1	110	expectation	L	12.0	0.12874353557184998	1.668741956332734	0.13943571012660777	75.46043366512134	0.9233182479219325	plan
M1-S1	110	expectation	R	12.0	5.494125292015377e-10	1.436786000503235	0.016096765578293558	-1.000002979155966	3.4131858759403126e-08	plan
M1-S1	111	expectation	L	12.0	0.04385977233170271	0.8611764078565762	0.05614194565498547	47.16839203421398	0.781230002273851	plan
M1-S1	111	expectation	R	12.0	0.0033736351852896545	0.8274368167944166	0.01408764136455644	-0.2058247000336142	0.23947480617852	plan
M1-S1	112	expectation	L	12.0	0.023536064222547358	1.3877110395393943	0.05876363085667311	4.686937642950519	0.40052093241060577	plan
M1-S1	112	expectation	R	12.0	0.010975285027145364	1.3508084465094274	0.04205507834129035	0.1093634387554494	0.2609740716228711	plan
M1-S1	113	expectation	L	12.0	0.06673163486382849	1.4632499342707823	0.06673163486382849	11.044045735625577	1.0	plan
M1-S1	113	expectation	R	12.0	0.04163515607175325	1.6582735010221064	0.04163515607175328	2.034025282779356	0.9999999999999991	plan
M1-S1	114	expectation	L	12.0	0.1237178264435294	1.1468707992545508	0.15629938789183156	131.65958940700574	0.7915438960589498	plan
M1-S1	114	expectation	R	12.0	0.02360319590485897	1.1073327060108156	0.043472197251619486	9.788123846696436	0.5429492272553504	plan
M1-S1	115	expectation	L	12.0	0.028601578478426308	0.7330004776735993	0.03577253280099765	24.89683380964503	0.7995402125294478	plan
M1-S1	115	expectation	R	12.0	0.01755729126571417	0.631556878807874	0.02237774114728695	8.197253064224709	0.7845872892243548	plan
premotor-parietal	102	expectation	L	12.0	0.0009839644586962643	1.4596531739008816	0.010332984637206954	-0.9633370326254761	0.09522558033747681	plan
premotor-parietal	102	expectation	R	12.0	2.7373662593566317e-09	1.432126946692226	0.014394729445450966	-1.0000032779689123	1.9016448136312115e-07	plan
premotor-parietal	103	expectation	L	12.0	0.012933666831520588	1.2462300852526822	0.03977183654800666	2.092803315184308	0.3251966203750482	plan
premotor-parietal	103	expectation	R	12.0	0.014382412674007805	1.2315398338083663	0.027387467390226943	3.4479601591612585	0.5251457708404277	plan
premotor-parietal	104	expectation	L	12.0	0.019091346326928917	1.0844641551756689	0.05938629571418669	10.490512415194486	0.3214773054512679	plan
premotor-parietal	104	expectation	R	12.0	0.011787913599297423	1.0569643581367567	0.03141735318306814	1.937424091545213	0.3752039050078325	plan
premotor-parietal	105	expectation	L	12.0	0.008949446790103845	0.646705059459846	0.02006894044959921	4.013452459339716	0.4459351908776315	plan
premotor-parietal	105	expectation	R	12.0	0.006437460277494732	0.6303877465500335	0.013061329789798529	2.132015724789525	0.4928640790099849	plan
