102	103	104	105	106	107	108	109	110	111	112	113	114	115	time	GoNogo	kind	Hem	roi
322.28709647050346	255.68290605784503	269.2113830943289	229.84881265227116	257.35975286962315	269.6072889025614	288.4066920156902	293.75080721954004	232.96207142165758	207.29956861888914	232.50698897773907	321.71719064666286	313.3404191976843	187.38547422381993	-3.0	go	raw	L	SMA
322.4070099863459	255.51614149396454	268.96844953154704	229.14001874593444	256.9202337381776	269.085304224753	288.12109690315793	293.4993219438297	232.87698301493094	207.16513568147099	231.84344202627076	321.58438329461706	312.9888784610247	187.54231917305185	-2.0	go	raw	L	SMA
322.243142745471	255.42595871317695	268.6876758910236	229.06341613979907	256.4848293171848	268.7719234011333	287.62548253084464	292.9151490006805	232.70850759093042	207.15534394959718	231.1260686274076	321.266870594189	312.74440533865175	187.957049713759	-1.0	go	raw	L	SMA
322.2995426167527	255.34592401094156	268.9159160003375	228.53190522184045	256.45050754526557	268.6572616793417	286.25249000166843	292.4587923181082	232.59513657978033	207.35367658451088	230.47539159895942	321.17653809137926	312.9465952485741	187.5319366648846	0.0	go	raw	L	SMA
322.21652004131204	255.47339003059022	269.2138511151295	231.17186537646916	256.8366491670155	268.8855963797759	286.73301818850115	292.1163599351664	232.674091560339	207.72544796486	231.71855691645862	321.38453827187936	313.98946778015005	188.67943595412356	1.0	go	raw	L	SMA
322.7291265138027	255.80313019191098	269.48936694143543	232.51299647882044	258.3357235844591	269.3647436356186	286.999390975422	292.35937305955053	232.9081084601168	208.4051970931539	232.5813920194953	321.8386874868612	314.75429672845064	188.99707646939936	2.0	go	raw	L	SMA
323.2349240077686	256.12626324738164	269.7074567566498	232.9556494298518	260.06565468849885	270.40193739061004	287.7750700069827	294.35026263954825	233.32363369996088	208.15390330556397	233.70662462794755	322.68268866593644	315.35898408352267	189.21375714035588	3.0	go	raw	L	SMA
322.8595838228044	256.2027597456739	269.9946859961017	232.44587071078766	260.07621001567384	270.73721321518315	288.4072716135051	295.18927790813336	233.3752791082411	207.45543199511772	233.87360264584936	322.8141682430865	315.15359526672995	188.66239783432022	4.0	go	raw	L	SMA
322.7590478889116	256.10486865556413	269.52447917414224	231.57346807318513	258.96716811360386	269.87659350156	288.3179167618588	294.2450061820261	233.04801208833666	207.26306620825284	233.16229582868328	322.3306603309617	314.23581783201405	187.67783665001053	5.0	go	raw	L	SMA
323.1459755358478	255.88208968987914	269.52797089998523	231.11830128085685	258.01620099939987	269.40454406287535	288.0975622540005	293.8219359752864	233.02307034309752	207.197520112802	232.63829268613165	321.64960047710304	313.3449902485937	187.21081252821284	6.0	go	raw	L	SMA
322.70391827842906	255.6054092284782	269.47393750258993	230.42916820095974	257.07253704566193	268.903654431205	287.7866640009128	293.288661650461	232.9325165786686	207.15596595560342	231.4911055759387	321.16979116432975	312.8424396106377	187.3270291571272	7.0	go	raw	L	SMA
322.47788906993617	255.20949227415986	269.027367099712	229.65540844091785	256.69037675832135	268.465960559116	287.24857009242857	292.6379931296489	232.7542295764028	207.02555700579336	230.80600691100366	321.0094781852521	312.56457802917396	187.81116479701237	8.0	go	raw	L	SMA
322.57984708213183	255.0275986814347	268.78026104882247	228.8128911144518	256.1748870873228	268.29610975200495	286.4834261911396	292.34197245288885	232.643719217549	206.8307787223572	230.27901158285414	320.5886159995658	312.5196032792886	188.27727065853497	9.0	go	raw	L	SMA
322.30563569962766	255.13390553018482	268.9372059774606	229.07551477220383	255.90878898921633	268.1664117482342	286.0466045530418	292.0785349795636	232.5571383225136	206.98747588245197	230.6105167113398	320.674818960832	313.09073111743555	188.66979793875095	10.0	go	raw	L	SMA
322.05502219066165	255.149288106757	269.02086427725527	230.19411820737574	256.3329522277556	268.3652662735932	286.16259486618674	291.93761927021023	232.5633455624707	207.49062737235272	231.46692982623037	320.922184002052	313.91405180892775	189.150121763876	11.0	go	raw	L	SMA
322.22599375467536	255.28642252292076	269.1839251480549	230.83558839646042	257.2735467915382	269.06326260015265	286.42212919728104	292.5886636836453	232.76489823453838	207.61135978851289	232.33504367958318	321.34162008223353	314.4194999696918	189.15524129608468	12.0	go	raw	L	SMA
321.8694565382709	255.5318268304455	269.3213240378252	230.79194679629484	257.77443038633595	269.71171288819187	286.9022116037868	293.3593986507625	232.84926131866814	207.1710050730208	232.83349360382013	321.7561671380046	314.5825732594496	189.0060566396263	13.0	go	raw	L	SMA
321.6907522942372	255.64377856916732	269.13413267935147	230.19763211294168	257.4654557207037	269.73177853070536	287.1009153745304	293.61949157467564	232.8812894472384	206.77517521952342	232.67876143170363	322.32141243257564	314.1572630612946	188.2495050291466	14.0	go	raw	L	SMA
321.5598772978614	255.60082273059666	268.9507290322841	229.6921758976019	256.8956989423236	269.44875982227256	287.19512058293043	293.40610305191075	232.8315951072474	206.64032173050992	232.3179369141353	322.1646908272359	313.3012720796662	187.5927102054716	15.0	go	raw	L	SMA
321.5495085988088	255.5296684429706	269.05350129275695	229.24367612344204	256.2687414305085	269.3045844117846	287.01636562787604	293.31208468436307	232.84172419092974	206.86029658966598	231.76036143191857	321.64012044123393	312.88968701441036	187.37383792377702	16.0	go	raw	L	SMA
0.05076481035591058	0.1181147655435616	0.07558677928663447	-0.9382810289807618	-0.061726561797542635	0.43899528926660575	0.319110822170851	0.6022383554164668	0.08105135659958172	-0.2553191227462434	0.10207704383420899	0.5267484026380198	-0.24231057138490167	-0.3330998433304698	-3.0	go	hat	L	SMA
0.1316687754637118	-0.07555591272903607	-0.18209908469316025	-1.8451476235635462	-1.0123611301474784	-0.1801732094419962	0.11129468533588649	0.2421410136738247	-0.017513531086230546	-0.369333480543355	-0.5010466125482524	0.2613764128540204	-0.7000043437474375	-0.4830014778333133	-2.0	go	hat	L	SMA
