con	psc	condition	sn	roi	Hem	epoch
1.4762027953870787	0.15505277854504537	100-0%	102	SMA	L	plan
-8.6393594145345	-0.7883713213796608	75-25%	102	SMA	L	plan
-1.9753777856198258	-0.17252768721769068	50-50%	102	SMA	L	plan
-1.4273612242383071	-0.16087209860881632	25-75%	102	SMA	L	plan
-1.8666980486267652	-0.15037384048459818	0-100%	102	SMA	L	plan
5.311140333240231	0.5535866125707651	plan	102	SMA	L	plan
-6.2742781144399675	-0.35143500694569324	exec	102	SMA	L	plan
5.057030855024045	0.45606752641253345	100-0%	102	PMd	L	plan
-7.171906963706279	-0.6260027974144813	75-25%	102	PMd	L	plan
-2.0431059674413192	-0.14633512613166424	50-50%	102	PMd	L	plan
-4.091827121072567	-0.35868857697328077	25-75%	102	PMd	L	plan
-2.6144904520083627	-0.2343010820213441	0-100%	102	PMd	L	plan
4.077279669256463	0.3873632834925347	plan	102	PMd	L	plan
-0.9743663674671744	-0.08584963060365973	exec	102	PMd	L	plan
6.5936136957193385	0.6740907712766446	100-0%	102	PMv	L	plan
-1.1640894411845932	-0.14653548579338158	75-25%	102	PMv	L	plan
2.709270589358688	0.29276372229640035	50-50%	102	PMv	L	plan
2.3365147001538893	0.23845007521995568	25-75%	102	PMv	L	plan
-0.8229839645168225	-0.125643308435083	0-100%	102	PMv	L	plan
10.977548400991685	1.2282936801649305	plan	102	PMv	L	plan
-14.113886175931993	-0.8290758504058043	exec	102	PMv	L	plan
6.1931700608969225	0.5959767364072494	100-0%	102	M1	L	plan
-10.17601410523514	-0.9034892395657729	75-25%	102	M1	L	plan
-5.62393063505643	-0.45672826093606317	50-50%	102	M1	L	plan
-3.4676257911802923	-0.29379701533722397	25-75%	102	M1	L	plan
-2.6849836580196285	-0.23366803359735475	0-100%	102	M1	L	plan
9.838497565461205	0.9405396720223083	plan	102	M1	L	plan
-4.762215287178938	-0.250894255538572	exec	102	M1	L	plan
3.880202553639433	0.36009410456099067	100-0%	102	S1	L	plan
-10.498192934067067	-0.8931592965512607	75-25%	102	S1	L	plan
-9.11419866666517	-0.7330515438499486	50-50%	102	S1	L	plan
-3.719927937860983	-0.3151321768858961	25-75%	102	S1	L	plan
-4.324950687639207	-0.3376029022036667	0-100%	102	S1	L	plan
16.832435835672328	1.5039725831550481	plan	102	S1	L	plan
-2.369333422189927	-0.10716670354811858	exec	102	S1	L	plan
5.548448607903354	0.46498729028694685	100-0%	102	SPLa	L	plan
-4.384810147834878	-0.36169224606738204	75-25%	102	SPLa	L	plan
-1.6597037042079328	-0.12588703673836604	50-50%	102	SPLa	L	plan
1.5329950130512926	0.1233427223745895	25-75%	102	SPLa	L	plan
0.6318368776619029	0.04664599719040767	0-100%	102	SPLa	L	plan
7.3571549885127006	0.6614382753921609	plan	102	SPLa	L	plan
-1.4395242049986003	-0.10317508484312922	exec	102	SPLa	L	plan
2.9765777683846997	0.24607176626390448	100-0%	102	SPLp	L	plan
-7.305492036387299	-0.5333562975714429	75-25%	102	SPLp	L	plan
-2.626649937825674	-0.17394926280504902	50-50%	102	SPLp	L	plan
-2.411206400285283	-0.19537603182382524	25-75%	102	SPLp	L	plan
1.9676397866117283	0.134140621281975	0-100%	102	SPLp	L	plan
5.553029361534769	0.45549667225077906	plan	102	SPLp	L	plan
-2.3443118143426904	-0.10530667961148438	exec	102	SPLp	L	plan
3.1129567158368703	0.33408656451058916	100-0%	102	SMA	R	plan
-8.414982554405196	-0.7804612911802369	75-25%	102	SMA	R	plan
-0.6365370524500197	-0.04240365405256349	50-50%	102	SMA	R	plan
0.2332181657964477	0.00684931544089989	25-75%	102	SMA	R	plan
