con	psc	condition	sn	roi	Hem	epoch
4.608193198925791	0.28704088798834543	100-0%	102	SMA	L	plan
0.7639198823963316	0.05172648278023428	75-25%	102	SMA	L	plan
-2.3010873693304186	-0.11061774649487324	50-50%	102	SMA	L	plan
-8.058021344325672	-0.4189908876739787	25-75%	102	SMA	L	plan
3.1018087718062675	0.1972624142504419	0-100%	102	SMA	L	plan
-0.574390455450003	-0.0423399865744602	100-0%,index	102	SMA	L	exec
-1.5632665347976562	-0.09059405075876967	75-25%,index	102	SMA	L	exec
-7.342357267783238	-0.4001857746330727	50-50%,index	102	SMA	L	exec
7.616968314349651	0.413479804374687	25-75%,index	102	SMA	L	exec
26.810165492464336	1.4631641929269503	75-25%,ring	102	SMA	L	exec
19.489749626996808	1.0943119481432186	50-50%,ring	102	SMA	L	exec
13.444507458285452	0.750355735008864	25-75%,ring	102	SMA	L	exec
3.687848611558095	0.21165955193855387	0-100%,ring	102	SMA	L	exec
4.595046317446075	0.2524802117552874	100-0%	102	PMd	L	plan
0.01815411018511272	-5.184314157015896e-05	75-25%	102	PMd	L	plan
-5.4929576938110305	-0.2810520274335995	50-50%	102	PMd	L	plan
-12.174906614179916	-0.624036797399593	25-75%	102	PMd	L	plan
3.1635458010277557	0.18540084652362787	0-100%	102	PMd	L	plan
-1.967768231749797	-0.12795209280619751	100-0%,index	102	PMd	L	exec
1.5044157109596656	0.07566580101357916	75-25%,index	102	PMd	L	exec
-7.48779893186649	-0.44554864319779913	50-50%,index	102	PMd	L	exec
13.580487363460568	0.6977988289508955	25-75%,index	102	PMd	L	exec
26.13864101648068	1.3982317936146542	75-25%,ring	102	PMd	L	exec
26.634797935286283	1.4534593796500281	50-50%,ring	102	PMd	L	exec
21.802032519936038	1.1557141627901384	25-75%,ring	102	PMd	L	exec
1.922714548528457	0.06784793767109414	0-100%,ring	102	PMd	L	exec
4.870906244353293	0.328593173445687	100-0%	102	PMv	L	plan
4.073201836547985	0.2707086906889309	75-25%	102	PMv	L	plan
1.7469607807699454	0.1456561922766909	50-50%	102	PMv	L	plan
0.12419067102130897	0.03565784622445818	25-75%	102	PMv	L	plan
