r_indiv	r_group	SNR	corr	glm	ci_lo	ci_hi	sigma2_1	sigma2_2	sigma2_e	Hem	roi	participant_id
-0.9998512199584124	0.6323699091446185	3.422086803637339e-11	plan-exec	12	0.5048106146013424	0.7108366495972249	3.57318496462306e-20	0.07087206825314446	1.4705313272542417	L	M1	102
0.7257595773507648	0.6323699091446185	0.08729717361569178	plan-exec	12	0.5048106146013424	0.7108366495972249	0.02956500065158015	0.3059605089062389	1.0894854905158793	L	M1	103
0.8133161713106473	0.6323699091446185	0.10475624081672949	plan-exec	12	0.5048106146013424	0.7108366495972249	0.049385497080435145	0.2621175178758235	1.086095045962627	L	M1	104
0.9999992779280797	0.6323699091446185	0.021236239654967334	plan-exec	12	0.5048106146013424	0.7108366495972249	0.003016467933216754	0.08391041250889364	0.7491687729520878	L	M1	105
0.8519877314264501	0.6323699091446185	0.06373943580729914	plan-exec	12	0.5048106146013424	0.7108366495972249	0.01439258135004078	0.24345152419024546	0.9286827535730716	L	M1	106
0.5315004874261504	0.6323699091446185	0.08042616492021548	plan-exec	12	0.5048106146013424	0.7108366495972249	0.06349111335633228	0.13201385137746133	1.1383317834155418	L	M1	107
-0.9999983660966584	0.6323699091446185	0.009797350430446855	plan-exec	12	0.5048106146013424	0.7108366495972249	0.0009496282517981775	0.11139860702614152	1.04980358447417	L	M1	108
0.18063637479459677	0.6323699091446185	0.06971183614514605	plan-exec	12	0.5048106146013424	0.7108366495972249	0.03422926668244061	0.22355232265120906	1.2548212621656167	L	M1	109
0.7278207937787828	0.6323699091446185	0.19738156035079127	plan-exec	12	0.5048106146013424	0.7108366495972249	0.11517619822041436	0.7672454337731008	1.5060588688072476	L	M1	110
0.7226533981835587	0.6323699091446185	0.04471995047762182	plan-exec	12	0.5048106146013424	0.7108366495972249	0.024364767913630646	0.09352269662685055	1.0674273736141557	L	M1	111
0.6007826596621215	0.6323699091446185	0.051402143263436985	plan-exec	12	0.5048106146013424	0.7108366495972249	0.023067975883023513	0.21140080167405872	1.3585537687998825	L	M1	112
0.20394598489609475	0.6323699091446185	0.0876138582794567	plan-exec	12	0.5048106146013424	0.7108366495972249	0.0365824292618868	0.43999522735066515	1.4480629693753069	L	M1	113
0.6524132136162851	0.6323699091446185	0.1553161772492096	plan-exec	12	0.5048106146013424	0.7108366495972249	0.09656883232533668	0.3503019270535674	1.1841945566014414	L	M1	114
0.5239242163881529	0.6323699091446185	0.030856418382136885	plan-exec	12	0.5048106146013424	0.7108366495972249	0.0061289534491640076	0.08475030862495671	0.7386152855881857	L	M1	115
-0.9999999923611589	0.611243033846474	0.010750365062707592	plan-exec	12	0.48705594871633207	0.718179079076032	0.00411364590576323	0.06757022200049954	1.550843283245176	L	S1	102
0.5483428810911876	0.611243033846474	0.10348343001748019	plan-exec	12	0.48705594871633207	0.718179079076032	0.06047368335733328	0.39533088879218287	1.4941450831474419	L	S1	103
0.7749115039274312	0.611243033846474	0.24383893275806498	plan-exec	12	0.48705594871633207	0.718179079076032	0.1360044935799984	0.6241746180461436	1.1948864385323623	L	S1	104
0.6594529194704443	0.611243033846474	0.0617864960789068	plan-exec	12	0.48705594871633207	0.718179079076032	0.02536642133791485	0.11246634399842298	0.8644648172603077	L	S1	105
