r_indiv	r_group	SNR	corr	ci_lo	ci_hi	freq	roi	session_id
0.9999999999198109	0.07192978744770025	0.01990679119401377	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	1.0
-0.5522587898221754	0.07192978744770025	0.5917056635867941	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	2.0
1.0	0.07192978744770025	0.42818821919096367	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	3.0
0.9999999963100581	0.07192978744770025	0.25078438613033843	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	4.0
0.9999944031876212	0.07192978744770025	2.1210920102872085e-10	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	5.0
0.9999999999972835	0.07192978744770025	0.500863566184167	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	6.0
-1.0	0.07192978744770025	1.1055347801701079	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	7.0
-0.8987209076994043	0.07192978744770025	0.14587475770907835	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	8.0
0.5663164089086948	0.07192978744770025	0.2564349295362003	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	9.0
-0.4047780345764678	0.07192978744770025	0.6341279099245574	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	10.0
1.0	0.07192978744770025	4.079888555914727e-18	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	11.0
0.36498188043824403	0.07192978744770025	0.4460705112200486	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	12.0
-0.9999999999913882	0.07192978744770025	0.10624411338553283	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	13.0
1.0	0.07192978744770025	0.7133765036218468	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	14.0
0.8083687513029346	0.07192978744770025	0.5500296981595789	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	15.0
