BN	TN	stimFinger	cue	MD	forceDiff	Unexpected	RT_global	RT_stimFinger	thumb0	thumb_der0	index0	index_der0	middle0	middle_der0	ring0	ring_der0	pinkie0	pinkie_der0	thumb1	thumb_der1	index1	index_der1	middle1	middle_der1	ring1	ring_der1	pinkie1	pinkie_der1	GoNogo	sn	diff0	diff1
1	1	index	75-25%	0.1172823997163495	0.116	0	0.178	0.178	0.0021826666666666	3.673333333333333	0.0567973333333333	2.679666666666667	0.0298533333333333	4.104	-0.0609893333333333	2.8566666666666665	-0.0299653333333333	2.413	0.1197299999999999	5.3375	13.36046	73.21249999999998	3.28573	22.6875	0.0299499999999999	4.8375	0.2314899999999999	4.759999999999999	go	102	0.1177866666666666	13.33051
1	2	index	100-0%	0.1129003340477109	-0.137	0	0.202	0.2	0.0021053333333333	3.470333333333333	0.0944493333333333	2.7306666666666666	0.2927893333333333	4.132333333333334	0.2759533333333333	3.0609999999999986	-0.1367946666666666	2.512666666666666	0.06722	3.915	7.76348	41.63500000000001	1.49453	12.04	-0.08916	5.3475	0.00832	5.0975	go	102	-0.18150399999999997	7.85264
1	3	ring	50-50%	0.0410664078164619	0.0	0	0.066	0.062	0.0026839999999999	3.683333333333333	0.0278533333333333	2.6106666666666665	0.1367826666666666	4.217999999999999	0.1275893333333333	2.933666666666667	-0.2640053333333333	2.618333333333333	0.0623199999999999	3.7925	0.0855899999999999	2.8475	0.68305	7.617499999999999	7.280559999999999	30.93999999999999	0.51921	8.405	go	102	-0.099736	-7.194969999999999
1	4	ring	0-100%	0.0359286178082827	0.05	0	0.0699999999999999	0.0679999999999999	0.0020973333333333	3.661333333333333	0.0109226666666666	2.6186666666666665	0.133104	4.124333333333333	0.0802386666666666	2.920333333333333	-0.298076	2.4816666666666665	0.08681	4.32	-0.00551	3.315	2.49121	17.9225	10.87731	36.33750000000002	2.32269	15.9	go	102	-0.069316	-10.882819999999999
1	5	ring	25-75%	0.0408512809172229	0.067	0	0.0699999999999999	0.0679999999999999	0.0019693333333333	3.275	-0.014836	2.476	0.340412	3.7889999999999975	0.0513479999999999	2.826	-0.107828	2.363	0.05839	3.4825	-0.03881	2.7225	0.7589099999999999	10.525	6.633349999999999	31.27	0.0474599999999999	4.325	go	102	-0.0661839999999999	-6.672159999999999
1	6	nogo	25-75%	0.0058785779765497	-0.157	-1			0.0026893333333333	3.5756666666666668	0.0106573333333333	2.495	0.440328	4.128333333333335	-0.1463866666666666	2.8746666666666667	0.1084946666666666	2.462333333333333	0.0011299999999999	4.065	0.02811	2.365	0.4837199999999999	5.072499999999998	-0.12449	3.065	-0.00794	2.54	nogo	102	0.1570439999999999	0.1526
1	7	ring	75-25%	0.0332188152329569	0.178	1	0.0559999999999999	0.062	0.0020106666666666	3.661333333333333	0.0126666666666666	2.583666666666667	0.3194866666666667	4.057333333333334	-0.1721653333333332	2.7543333333333333	0.0852893333333333	2.56	0.04966	3.515	0.02284	2.3475	0.8884599999999999	10.695000000000002	5.41614	22.7375	0.4368200000000001	9.537499999999998	go	102	0.1848319999999998	-5.3933
1	8	ring	50-50%	0.0264917368033391	0.0	0	0.0559999999999999	0.0539999999999999	0.0015146666666666	3.8216666666666663	0.042984	2.875	0.0386893333333333	4.421333333333333	0.0160666666666666	2.8626666666666667	-0.0177346666666666	2.557333333333333	0.0334199999999999	3.4625	0.01917	3.0125	0.25303	6.0875	5.969989999999998	17.49749999999999	0.17927	4.4175	go	102	0.0269173333333334	-5.9508199999999984
1	9	nogo	75-25%	0.0095598434952091	-0.22	-1			0.0021119999999999	3.5116666666666667	0.0218533333333333	2.443	0.4602106666666667	3.952333333333333	0.27266	3.03	-0.1541479999999999	2.364	-0.00037	3.5125	0.04314	2.65	0.51482	3.7275000000000023	0.2569000000000001	2.745000000000002	-0.18655	2.6175	nogo	102	-0.25080666666666673	-0.21376000000000006
1	10	index	75-25%	0.0916158446130949	-0.069	0	0.144	0.144	0.0010066666666666	3.503	0.0312386666666666	2.7013333333333334	0.4398253333333333	4.099000000000001	0.107956	2.861333333333333	-0.0523999999999999	2.353333333333333	0.06796	3.9525	12.573819999999998	50.0875	3.01982	12.384999999999998	-0.19327	4.374999999999999	-0.06452	4.125	go	102	-0.0767173333333334	12.767089999999998
1	11	ring	0-100%	0.0560929374708241	0.102	0	0.0679999999999999	0.06	0.0006986666666666	3.616333333333333	0.0758626666666666	2.678	0.2403693333333333	4.028	0.2008893333333333	3.0086666666666666	-0.326648	2.4326666666666665	0.1012899999999999	4.0975	0.0294	3.495	4.02413	25.765	12.36964	42.43750000000001	1.68192	19.475	go	102	-0.1250266666666667	-12.34024
1	12	nogo	100-0%	0.040803210863063	0.139	-1			0.0006746666666666	3.559333333333333	0.4667226666666667	2.627000000000001	-0.230728	3.9826666666666655	0.27626	3.158	-0.479296	2.433666666666667	-0.00034	4.365	0.3736199999999999	2.567500000000002	-0.20122	4.424999999999999	0.41849	3.1699999999999995	-0.39311	2.6000000000000005	nogo	102	0.19046266666666667	-0.044870000000000076
1	13	nogo	0-100%	0.0193263947730311	0.013	-1			-0.000236	3.441666666666667	0.2099573333333333	2.720333333333333	-0.2051893333333333	3.915333333333333	0.2499066666666666	3.0503333333333327	-0.3406293333333333	2.370999999999998	0.0010299999999999	3.595	0.18477	2.5675	-0.23005	3.7625	0.31137	2.987499999999999	-0.31028	2.457500000000002	nogo	102	-0.03994933333333331	-0.1266
1	14	index	100-0%	0.134735882490954	0.082	0	0.15	0.132	0.0012946666666666	3.528	0.316992	2.593666666666665	-0.1741413333333333	3.9366666666666665	0.2051813333333333	2.8853333333333326	-0.3041533333333333	2.356333333333334	0.06527	4.23	14.01184	57.575	3.118690000000001	10.977499999999996	-0.3422699999999999	5.862499999999999	-0.22238	3.5	go	102	0.1118106666666667	14.354109999999999
1	15	index	75-25%	0.1210763858833376	0.396	0	0.204	0.198	0.0009546666666666	3.752666666666667	0.1779613333333333	2.6046666666666662	0.1790533333333333	4.153	-0.224804	2.873	-0.291808	2.395666666666666	0.0497599999999999	4.36	7.47243	34.545	0.7044300000000001	5.514999999999998	-0.27585	4.0225	-0.31724	3.5574999999999983	go	102	0.4027653333333333	7.74828
1	16	ring	25-75%	0.0959860379123432	-0.367	0	0.0559999999999999	0.062	0.0011559999999999	3.235	0.0859266666666666	2.537333333333333	0.3396453333333333	3.763333333333332	-0.2661373333333333	2.8743333333333334	-0.31828	2.476	0.10198	3.87	0.16067	5.1275	2.796309999999999	20.5625	13.16861	47.6775	2.45742	23.3225	go	102	0.3520639999999999	-13.00794
1	17	nogo	25-75%	0.0103320378655415	0.437	-1			0.0005079999999999	3.754	0.0915599999999999	2.7493333333333334	0.0195466666666666	4.327333333333334	0.5567853333333334	2.946666666666661	0.4702186666666667	2.615333333333329	-0.00073	3.4175	0.06948	2.385	-0.00021	3.9425	0.5513399999999999	2.6349999999999976	0.4634299999999999	2.642499999999998	nogo	102	-0.46522533333333344	-0.48185999999999996
1	18	nogo	100-0%	0.0105044919935937	-0.393	-1			-0.0004186666666666	3.453666666666667	0.0765879999999999	2.665666666666666	0.0199173333333333	4.070333333333333	0.4758573333333333	2.8866666666666654	0.4522093333333333	2.5283333333333338	-0.00025	3.955	0.11772	2.7875	0.0586299999999999	4.39	0.4817599999999999	2.9375	0.46303	2.1949999999999967	nogo	102	-0.39926933333333336	-0.3640399999999999
1	19	index	50-50%	0.0950458693171415	0.0	0	0.202	0.2	-0.0011066666666666	3.662333333333333	0.105956	2.771333333333333	0.044172	4.264	0.4315826666666666	2.9363333333333346	0.4590666666666666	2.5523333333333325	0.06623	4.1675	8.07294	39.425	1.02528	9.1375	0.2530499999999999	4.515	0.57456	2.952500000000001	go	102	-0.3256266666666666	7.819889999999999
1	20	nogo	50-50%	0.0096457399103139	0.0	-1			-0.0003746666666666	3.5116666666666667	-0.014204	2.73	0.7884986666666667	4.200333333333332	0.2205906666666666	3.146	0.3717346666666667	2.607000000000002	-0.00279	3.2575	-0.0141	2.425	0.7561599999999998	3.8025000000000015	0.26708	2.865	0.37242	2.302500000000001	nogo	102	-0.2347946666666666	-0.28118
1	21	ring	25-75%	0.1041321731301734	0.245	0	0.0539999999999999	0.05	-0.0005906666666666	3.462	-0.0300533333333333	2.55	0.7587640000000001	3.993666666666668	0.2190533333333333	2.837666666666666	0.3540013333333333	2.3706666666666663	0.0807	3.945	0.1901199999999999	3.7849999999999993	2.6251100000000003	20.345000000000013	9.94747	42.715	0.8254400000000003	6.035	go	102	-0.2491066666666666	-9.757349999999999
1	22	index	100-0%	0.2146577710189711	-0.339	0	0.342	0.284	-0.00084	3.5	0.2232786666666666	2.9686666666666666	-0.0500213333333333	4.739	0.566552	3.250333333333331	0.3347053333333333	2.739666666666666	0.0071699999999999	3.545	3.62592	11.4725	0.6486300000000002	7.522500000000001	0.5768599999999998	5.6825	0.12333	2.39	go	102	-0.3432733333333333	3.04906
1	23	index	25-75%	0.1638121195595606	-0.214	1	0.202	0.192	-0.0040773333333333	3.697	0.1610586666666666	2.595	0.0363853333333333	3.9903333333333335	-0.0560546666666666	2.9936666666666665	-0.585868	2.599999999999999	0.0516	4.3475	5.90759	34.709999999999994	0.199	6.37	0.1650299999999999	4.6875	-0.46314	3.627499999999999	go	102	0.2171133333333332	5.74256
1	24	index	100-0%	0.0339242146336823	0.281	0	0.1599999999999999	0.152	-0.0026373333333333	3.532	0.259728	2.8573333333333344	0.028556	4.248	-0.0283453333333333	2.986	-0.4805879999999999	2.464	0.04921	3.9575	9.97954	38.66999999999999	1.31411	8.7275	-0.25459	3.255	-0.43201	2.9050000000000007	go	102	0.2880733333333333	10.23413
