BN	TN	stimFinger	cue	MD	Unexpected	RT	thumb0	index0	middle0	ring0	pinkie0	thumb1	index1	middle1	ring1	pinkie1	GoNogo	sn
1	1	index	75-25%	0.1172823997163495	0	0.178	0.0021826666666666	0.0567973333333333	0.0298533333333333	-0.0609893333333333	-0.0299653333333333	0.1197299999999999	13.36046	3.28573	0.0299499999999999	0.2314899999999999	go	102
1	2	index	100-0%	0.1129003340477109	0	0.202	0.0021053333333333	0.0944493333333333	0.2927893333333333	0.2759533333333333	-0.1367946666666666	0.06722	7.76348	1.49453	-0.08916	0.00832	go	102
1	3	ring	50-50%	0.0410664078164619	0	0.066	0.0026839999999999	0.0278533333333333	0.1367826666666666	0.1275893333333333	-0.2640053333333333	0.0623199999999999	0.0855899999999999	0.68305	7.280559999999999	0.51921	go	102
1	4	ring	0-100%	0.0359286178082827	0	0.0699999999999999	0.0020973333333333	0.0109226666666666	0.133104	0.0802386666666666	-0.298076	0.08681	-0.00551	2.49121	10.87731	2.32269	go	102
1	5	ring	25-75%	0.0408512809172229	0	0.0699999999999999	0.0019693333333333	-0.014836	0.340412	0.0513479999999999	-0.107828	0.05839	-0.03881	0.7589099999999999	6.633349999999999	0.0474599999999999	go	102
1	6	nogo	25-75%	0.0058785779765497	-1	-1.05	0.0026893333333333	0.0106573333333333	0.440328	-0.1463866666666666	0.1084946666666666	0.0011299999999999	0.02811	0.4837199999999999	-0.12449	-0.00794	nogo	102
1	7	ring	75-25%	0.0332188152329569	1	0.0559999999999999	0.0020106666666666	0.0126666666666666	0.3194866666666667	-0.1721653333333332	0.0852893333333333	0.04966	0.02284	0.8884599999999999	5.41614	0.4368200000000001	go	102
1	8	ring	50-50%	0.0264917368033391	0	0.0559999999999999	0.0015146666666666	0.042984	0.0386893333333333	0.0160666666666666	-0.0177346666666666	0.0334199999999999	0.01917	0.25303	5.969989999999998	0.17927	go	102
1	9	nogo	75-25%	0.0095598434952091	-1	-1.05	0.0021119999999999	0.0218533333333333	0.4602106666666667	0.27266	-0.1541479999999999	-0.00037	0.04314	0.51482	0.2569000000000001	-0.18655	nogo	102
1	10	index	75-25%	0.0916158446130949	0	0.144	0.0010066666666666	0.0312386666666666	0.4398253333333333	0.107956	-0.0523999999999999	0.06796	12.573819999999998	3.01982	-0.19327	-0.06452	go	102
1	11	ring	0-100%	0.0560929374708241	0	0.0679999999999999	0.0006986666666666	0.0758626666666666	0.2403693333333333	0.2008893333333333	-0.326648	0.1012899999999999	0.0294	4.02413	12.36964	1.68192	go	102
1	12	nogo	100-0%	0.040803210863063	-1	-1.05	0.0006746666666666	0.4667226666666667	-0.230728	0.27626	-0.479296	-0.00034	0.3736199999999999	-0.20122	0.41849	-0.39311	nogo	102
1	13	nogo	0-100%	0.0193263947730311	-1	-1.05	-0.000236	0.2099573333333333	-0.2051893333333333	0.2499066666666666	-0.3406293333333333	0.0010299999999999	0.18477	-0.23005	0.31137	-0.31028	nogo	102
1	14	index	100-0%	0.134735882490954	0	0.15	0.0012946666666666	0.316992	-0.1741413333333333	0.2051813333333333	-0.3041533333333333	0.06527	14.01184	3.118690000000001	-0.3422699999999999	-0.22238	go	102
1	15	index	75-25%	0.1210763858833376	0	0.204	0.0009546666666666	0.1779613333333333	0.1790533333333333	-0.224804	-0.291808	0.0497599999999999	7.47243	0.7044300000000001	-0.27585	-0.31724	go	102
1	16	ring	25-75%	0.0959860379123432	0	0.0559999999999999	0.0011559999999999	0.0859266666666666	0.3396453333333333	-0.2661373333333333	-0.31828	0.10198	0.16067	2.796309999999999	13.16861	2.45742	go	102
1	17	nogo	25-75%	0.0103320378655415	-1	-1.05	0.0005079999999999	0.0915599999999999	0.0195466666666666	0.5567853333333334	0.4702186666666667	-0.00073	0.06948	-0.00021	0.5513399999999999	0.4634299999999999	nogo	102
1	18	nogo	100-0%	0.0105044919935937	-1	-1.05	-0.0004186666666666	0.0765879999999999	0.0199173333333333	0.4758573333333333	0.4522093333333333	-0.00025	0.11772	0.0586299999999999	0.4817599999999999	0.46303	nogo	102
1	19	index	50-50%	0.0950458693171415	0	0.202	-0.0011066666666666	0.105956	0.044172	0.4315826666666666	0.4590666666666666	0.06623	8.07294	1.02528	0.2530499999999999	0.57456	go	102
1	20	nogo	50-50%	0.0096457399103139	-1	-1.05	-0.0003746666666666	-0.014204	0.7884986666666667	0.2205906666666666	0.3717346666666667	-0.00279	-0.0141	0.7561599999999998	0.26708	0.37242	nogo	102
1	21	ring	25-75%	0.1041321731301734	0	0.0539999999999999	-0.0005906666666666	-0.0300533333333333	0.7587640000000001	0.2190533333333333	0.3540013333333333	0.0807	0.1901199999999999	2.6251100000000003	9.94747	0.8254400000000003	go	102
1	22	index	100-0%	0.2146577710189711	0	0.342	-0.00084	0.2232786666666666	-0.0500213333333333	0.566552	0.3347053333333333	0.0071699999999999	3.62592	0.6486300000000002	0.5768599999999998	0.12333	go	102
1	23	index	25-75%	0.1638121195595606	1	0.202	-0.0040773333333333	0.1610586666666666	0.0363853333333333	-0.0560546666666666	-0.585868	0.0516	5.90759	0.199	0.1650299999999999	-0.46314	go	102
1	24	index	100-0%	0.0339242146336823	0	0.1599999999999999	-0.0026373333333333	0.259728	0.028556	-0.0283453333333333	-0.4805879999999999	0.04921	9.97954	1.31411	-0.25459	-0.43201	go	102
1	25	nogo	50-50%	0.008162207556619	-1	-1.05	-0.0031746666666666	0.4575533333333333	0.2022653333333333	0.4153786666666667	-0.5284586666666667	-0.00236	0.44296	0.13996	0.33852	-0.5054400000000001	nogo	102
1	26	nogo	75-25%	0.0079041660116499	-1	-1.05	-0.0023706666666666	0.3250426666666666	0.2990386666666667	0.3902986666666666	-0.4868293333333333	-0.00353	0.3355100000000001	0.27788	0.3078199999999999	-0.48941	nogo	102
1	27	ring	0-100%	0.0149955156950672	0	0.21	-0.0051906666666666	0.2582133333333333	-0.0349226666666666	2.5089493333333337	-0.5882693333333333	0.03145	0.20998	0.18602	5.453519999999998	-0.5495099999999999	go	102
1	28	index	50-50%	0.0372614598030621	0	0.1599999999999999	-0.004908	0.3406506666666666	0.3190493333333333	0.0471386666666666	-0.4646413333333333	0.06837	10.77276	1.83772	-0.17413	-0.24842	go	102
1	29	nogo	0-100%	0.0070382438967689	-1	-1.05	-0.005276	0.1906226666666666	0.3094986666666666	0.009052	-0.4578186666666666	-0.00572	0.14855	0.23534	-0.02843	-0.4693099999999999	nogo	102
1	30	ring	0-100%	0.0748494143297016	0	0.074	-0.00472	0.1782373333333333	0.2501133333333333	-0.0326466666666666	-0.4934426666666666	0.0752999999999999	0.09694	2.7154600000000007	10.642740000000002	0.5805800000000001	go	102
2	1	index	50-50%	0.1437158119849506	0	0.278	0.0003466666666666	0.0747053333333333	-0.4995786666666667	-0.2352053333333333	-0.0915999999999999	0.02167	3.8411300000000006	-0.40624	-0.16308	-0.07262	go	102
2	2	index	100-0%	0.0895945238080263	0	0.192	-0.0003066666666666	-0.3746293333333333	-0.722292	-0.541172	-0.338364	0.0964899999999999	11.04113	1.7388300000000003	-0.6008	-0.3344899999999999	go	102
2	3	ring	0-100%	0.1507151969636841	0	0.06	-0.000468	-0.3883986666666666	-0.404576	-0.3931013333333333	-0.2801426666666666	0.05381	-0.23228	0.3625300000000001	8.61524	0.1172899999999999	go	102
2	4	ring	0-100%	0.0760056582679002	0	0.062	-0.0015733333333333	-0.5281920000000001	-1.4273280000000002	-0.5196306666666666	-0.5635106666666667	0.07943	-0.4217099999999999	0.60144	6.610439999999999	-0.17584	go	102
2	5	nogo	50-50%	0.0177734448257542	-1	-1.05	-0.0003373333333333	0.1229946666666666	-0.5729973333333334	-0.0356693333333333	-0.5027733333333333	-0.0032199999999999	-0.1141499999999999	-0.4572	0.6166900000000001	-0.61455	nogo	102
