con	condition	sn	roi	Hem	epoch
1.1153720369391422	75-25%	102	SMA	R	plan
3.1665311464208528	100-0%	102	SMA	R	plan
9.367481909538071	0-100%,ring	102	SMA	R	exec
9.629684630101895	25-75%,index	102	SMA	R	exec
-0.08851198046281451	50-50%,index	102	SMA	R	exec
1.7336924721668794	75-25%,index	102	SMA	R	exec
15.685761730062545	25-75%,ring	102	SMA	R	exec
21.67771759500093	50-50%,ring	102	SMA	R	exec
30.60548084928024	75-25%,ring	102	SMA	R	exec
5.64420752844654	100-0%,index	102	SMA	R	exec
1.2447868017162091	0-100%	102	PMd	R	plan
-7.195005621032077	25-75%	102	PMd	R	plan
-3.6800805286803624	50-50%	102	PMd	R	plan
-0.9249033819703483	75-25%	102	PMd	R	plan
1.2434624821897362	100-0%	102	PMd	R	plan
6.05990271372938	0-100%,ring	102	PMd	R	exec
6.5675676347724625	25-75%,index	102	PMd	R	exec
-1.8937883617312947	50-50%,index	102	PMd	R	exec
1.5489218589620701	75-25%,index	102	PMd	R	exec
10.758917122169715	25-75%,ring	102	PMd	R	exec
12.475387904291415	50-50%,ring	102	PMd	R	exec
19.86807439331119	75-25%,ring	102	PMd	R	exec
3.0827296818046426	100-0%,index	102	PMd	R	exec
2.227493415278683	0-100%	102	PMv	R	plan
-3.8678041937579195	25-75%	102	PMv	R	plan
-1.504101417335381	50-50%	102	PMv	R	plan
0.860763885110498	75-25%	102	PMv	R	plan
1.6702021112836214	100-0%	102	PMv	R	plan
5.848652586400271	0-100%,ring	102	PMv	R	exec
4.92886029658802	25-75%,index	102	PMv	R	exec
-1.8168426251328325	50-50%,index	102	PMv	R	exec
0.27500216271060396	75-25%,index	102	PMv	R	exec
7.705863197130036	25-75%,ring	102	PMv	R	exec
10.645843849773426	50-50%,ring	102	PMv	R	exec
20.224221227890943	75-25%,ring	102	PMv	R	exec
2.232762721192789	100-0%,index	102	PMv	R	exec
-0.9785465399484808	0-100%	102	M1	R	plan
-8.009018408888723	25-75%	102	M1	R	plan
-6.4456945711883105	50-50%	102	M1	R	plan
-4.7186548187238415	75-25%	102	M1	R	plan
-1.994127739766022	100-0%	102	M1	R	plan
-2.3794657900566007	0-100%,ring	102	M1	R	exec
0.8381931142109197	25-75%,index	102	M1	R	exec
-11.778358536449874	50-50%,index	102	M1	R	exec
-8.585164936831811	75-25%,index	102	M1	R	exec
13.737712388958146	25-75%,ring	102	M1	R	exec
11.12181016584722	50-50%,ring	102	M1	R	exec
22.079943578199643	75-25%,ring	102	M1	R	exec
-6.001664976039674	100-0%,index	102	M1	R	exec
-5.168961673385575	0-100%	102	S1	R	plan
-8.28744274014964	25-75%	102	S1	R	plan
-7.674776380119571	50-50%	102	S1	R	plan
-4.428568870768559	75-25%	102	S1	R	plan
-1.8255999882248481	100-0%	102	S1	R	plan
-4.142600438420573	0-100%,ring	102	S1	R	exec
2.3839161277683028	25-75%,index	102	S1	R	exec
-9.005604424033825	50-50%,index	102	S1	R	exec
-8.925758687965802	75-25%,index	102	S1	R	exec
12.008242300031212	25-75%,ring	102	S1	R	exec
11.76128393396901	50-50%,ring	102	S1	R	exec
21.813288753900597	75-25%,ring	102	S1	R	exec
-6.931832821844019	100-0%,index	102	S1	R	exec
2.236681348270114	0-100%	102	SPLa	R	plan
-4.830693365599743	25-75%	102	SPLa	R	plan
-2.9568130372711527	50-50%	102	SPLa	R	plan
0.5625977687919523	75-25%	102	SPLa	R	plan
0.20562777224222156	100-0%	102	SPLa	R	plan
-3.0099583187709973	0-100%,ring	102	SPLa	R	exec
11.659337608709807	25-75%,index	102	SPLa	R	exec
-6.879630383934395	50-50%,index	102	SPLa	R	exec
-8.076551795396531	75-25%,index	102	SPLa	R	exec
15.583674978341628	25-75%,ring	102	SPLa	R	exec
16.784162662577003	50-50%,ring	102	SPLa	R	exec
17.659472049508107	75-25%,ring	102	SPLa	R	exec
-5.073323290808409	100-0%,index	102	SPLa	R	exec
8.264744716229336	0-100%	102	SPLp	R	plan
